ticker,date,feature_file,status
AAPL,2023-01-15,AAPL_2023-01-15_audio_features.npy,synthetic
MSFT,2023-01-15,MSFT_2023-01-15_audio_features.npy,synthetic
GOOGL,2023-01-15,GOOGL_2023-01-15_audio_features.npy,synthetic
AMZN,2023-01-15,AMZN_2023-01-15_audio_features.npy,synthetic
META,2023-01-15,META_2023-01-15_audio_features.npy,synthetic
NVDA,2023-01-15,NVDA_2023-01-15_audio_features.npy,synthetic
JPM,2023-01-15,JPM_2023-01-15_audio_features.npy,synthetic
V,2023-01-15,V_2023-01-15_audio_features.npy,synthetic
UNH,2023-01-15,UNH_2023-01-15_audio_features.npy,synthetic
HD,2023-01-15,HD_2023-01-15_audio_features.npy,synthetic
AAPL,2023-02-14,AAPL_2023-02-14_audio_features.npy,synthetic
MSFT,2023-02-14,MSFT_2023-02-14_audio_features.npy,synthetic
GOOGL,2023-02-14,GOOGL_2023-02-14_audio_features.npy,synthetic
AMZN,2023-02-14,AMZN_2023-02-14_audio_features.npy,synthetic
META,2023-02-14,META_2023-02-14_audio_features.npy,synthetic
NVDA,2023-02-14,NVDA_2023-02-14_audio_features.npy,synthetic
JPM,2023-02-14,JPM_2023-02-14_audio_features.npy,synthetic
V,2023-02-14,V_2023-02-14_audio_features.npy,synthetic
UNH,2023-02-14,UNH_2023-02-14_audio_features.npy,synthetic
HD,2023-02-14,HD_2023-02-14_audio_features.npy,synthetic
AAPL,2023-03-16,AAPL_2023-03-16_audio_features.npy,synthetic
MSFT,2023-03-16,MSFT_2023-03-16_audio_features.npy,synthetic
GOOGL,2023-03-16,GOOGL_2023-03-16_audio_features.npy,synthetic
AMZN,2023-03-16,AMZN_2023-03-16_audio_features.npy,synthetic
META,2023-03-16,META_2023-03-16_audio_features.npy,synthetic
NVDA,2023-03-16,NVDA_2023-03-16_audio_features.npy,synthetic
JPM,2023-03-16,JPM_2023-03-16_audio_features.npy,synthetic
V,2023-03-16,V_2023-03-16_audio_features.npy,synthetic
UNH,2023-03-16,UNH_2023-03-16_audio_features.npy,synthetic
HD,2023-03-16,HD_2023-03-16_audio_features.npy,synthetic
AAPL,2023-04-15,AAPL_2023-04-15_audio_features.npy,synthetic
MSFT,2023-04-15,MSFT_2023-04-15_audio_features.npy,synthetic
GOOGL,2023-04-15,GOOGL_2023-04-15_audio_features.npy,synthetic
AMZN,2023-04-15,AMZN_2023-04-15_audio_features.npy,synthetic
META,2023-04-15,META_2023-04-15_audio_features.npy,synthetic
NVDA,2023-04-15,NVDA_2023-04-15_audio_features.npy,synthetic
JPM,2023-04-15,JPM_2023-04-15_audio_features.npy,synthetic
V,2023-04-15,V_2023-04-15_audio_features.npy,synthetic
UNH,2023-04-15,UNH_2023-04-15_audio_features.npy,synthetic
HD,2023-04-15,HD_2023-04-15_audio_features.npy,synthetic
AAPL,2023-05-15,AAPL_2023-05-15_audio_features.npy,synthetic
MSFT,2023-05-15,MSFT_2023-05-15_audio_features.npy,synthetic
GOOGL,2023-05-15,GOOGL_2023-05-15_audio_features.npy,synthetic
AMZN,2023-05-15,AMZN_2023-05-15_audio_features.npy,synthetic
META,2023-05-15,META_2023-05-15_audio_features.npy,synthetic
NVDA,2023-05-15,NVDA_2023-05-15_audio_features.npy,synthetic
JPM,2023-05-15,JPM_2023-05-15_audio_features.npy,synthetic
V,2023-05-15,V_2023-05-15_audio_features.npy,synthetic
UNH,2023-05-15,UNH_2023-05-15_audio_features.npy,synthetic
HD,2023-05-15,HD_2023-05-15_audio_features.npy,synthetic
